Title,Description,Blurb,Language,Average Rating,Number of Ratings,Category,Series,Image URL,Authors,Narrators,Duration,Format,URL,Book ID,MP3 Identifier,Epub Identifier
Förbindelsen : Marie-Antoinette och Axel von Fersen,"Den blivande franska drottningen Marie-Antoinette och den svenske greven Axel von Fersen träffas för första gången när de är arton år gamla. I Förbindelsen får vi följa dem från ungdomens rusiga fester till revolution, fångenskap, flykt och våldsam död.

Paret träffas på baler och spelkvällar i Versailles salar, men trivs bäst i drottningens lustslott Lilla Trianon och den bondby som hon där skapat som sitt paradis. En romans börjar spira, men de kan inte råda över sina liv. Axel von Fersen är styrd av Gustav III:s nycker och slösar bort sin tid på skådespel och krig, alltmedan Marie-Antoinette förtalas och tvingas bort från sin tron.

Breven de skriver till varandra under de olyckliga åren ger en unik inblick i förhållandets intimitet. Särskilt nu, när det avslöjats vad som står under överstrukna meningar. Axel von Fersen gör allt för att rädda sin drottning, men hans insatser bidrar snarare till den franska monarkins fall som i slutändan leder till att Marie-Antoinette giljotineras.

Med hjälp av brev och dagböcker och ett skarpt öga för såväl detaljer och miljöer som historiska sammanhang tar Kristina Ekero Eriksson oss med på ett av tidernas mest svindlande kärleksäventyr.","Den blivande franska drottningen Marie-Antoinette och den svenske greven Axel von Fersen träffas för första gången när de är arton år gamla. I Förbindelsen får vi följa dem från ungdomens rusiga fester till revolution, fångenskap, flykt och våldsam död. Paret träffas på baler och spelkvällar i Vers",sv,1.0,2,Biographies and reportage,,https://images.nextory.com/9789113122502.jpg?fit=clip&auto=format&w={$width},Kristina Ekero Eriksson,Philomène Grandin,46834 secs,"hls, epub",https://www.nextory.com/se/book/förbindelsen-marie-antoinette-och-axel-von-fersen-4380414?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4380414,12794106,12734350
Monster,"Hans Youtubekanaler har sammanlagt över en miljon prenumeranter. På Instagram följs han av mer än 800 000 personer. Hans musik slår lyssningsrekord på Spotify. Joakim Lundell, tidigare känd som Jockiboi, är idag tveklöst en av Sveriges största influencers. Men vägen dit är full av smärtsamma minnen.Under sin uppväxt placeras Joakim i fosterhem och ungdomshem och bollas mellan olika myndigheter. Han lever en tid som hemlös och hamnar i drogmissbruk och kriminalitet. Ensamheten driver honom till flera självmordsförsök. Vändningen kommer när han träffar sin fru Jonna. Med henne finner Joakim den trygghet och självkänsla han tidigare saknat.Monster är en drabbande och hoppfull berättelse om en man som slår sig fri från en till synes nattsvart tillvaro, och blir en röst och en vän för hundratusentals människor. Joakim Lundell berättar sin historia för Leif Eriksson och Martin Svensson.","Hans Youtubekanaler har sammanlagt över en miljon prenumeranter. På Instagram följs han av mer än 800 000 personer. Hans musik slår lyssningsrekord på Spotify. Joakim Lundell, tidigare känd som Jockiboi, är idag tveklöst en av Sveriges största influencers. Men vägen dit är full av smärtsamma minnen.",sv,4.3716239915819015,5702,Biographies and reportage,,https://images.nextory.com/9789176516157.jpg?fit=clip&auto=format&w={$width},"Joakim Lundell, Leif Eriksson, Martin Svensson",Viktor Åkerblom,17026 secs,"hls, epub",https://www.nextory.com/se/book/monster-2039361?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,2039361,10043720,10043807
Närmast Satan: Mitt dubbelliv i Jehovas vittnen,"Tom-Kristian Heinäaho växte upp som Jehovas vittne. Redan vid sex års ålder började han utbilda sig till predikant och tjugo år senare blev han en s.k. äldste i sin församling. Tom-Kristian var en förebild och en oklanderlig församlingsmedlem, men han bar på en hemlighet. Länge levde han ett dubbelliv, tills han avslöjades och ställdes inför Jehovas vittnens dömande kommitté. Samma interna domstol som han själv deltagit i för att döma andra församlingsmedlemmar på villovägar.

""Närmast Satan"" är en sann historia om hur det är att leva i ett religiöst samfund som kontrollerar sina medlemmars liv. Det är också en berättelse om att bryta sig loss, söka mänsklig kontakt och bygga upp ett nytt liv. Tom-Kristian Heinäaho jobbar ideellt i Stödföreningen för religioners offer i Helsingfors.","Tom-Kristian Heinäaho växte upp som Jehovas vittne. Redan vid sex års ålder började han utbilda sig till predikant och tjugo år senare blev han en s.k. äldste i sin församling. Tom-Kristian var en förebild och en oklanderlig församlingsmedlem, men han bar på en hemlighet. Länge levde han ett dubbell",sv,4.2444444444444445,45,Biographies and reportage,,https://images.nextory.com/9789180955898.jpg?fit=clip&auto=format&w={$width},Tom-Kristian Heinäaho,Anastasios Soulis,28497 secs,"hls, epub",https://www.nextory.com/se/book/närmast-satan-mitt-dubbelliv-i-jehovas-vittnen-4323563?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4323563,12706703,12738177
Bortgift mot min vilja,"Det var flera år sedan jag såg honom sist. Raed har blivit vuxen och påminner om min farbror Abu Mustafa till utseendet. Jag vill bara springa därifrån men det är som att min kropp har frusit till is. Musklerna lyder inte hjärnans impulser. Tusen tankar far genom huvudet. Föraningen jag kände på planet: det var det här det handlade om. Jag ska bli bortgift.

18-åriga Hanna har precis landat med sin familj i ett kvävande hett Beirut. Hon tror att de är på besök för att tillbringa semestern i föräldrarnas hemland men i själva verket har de rest dit för att Hanna ska bli bortgift med sin kusin. Något som planerats sedan lång tid tillbaka utan hennes vetskap.

Knappt ett år tidigare har Hanna varit med om en livsomvälvande händelse, då hon förlorade sin bästa vän i det som senare kom att kallas för diskoteksbranden, den 29 oktober 1998. Sedan dess har hon försökt att hitta tillbaka till glädjen, men utan att lyckas. Och istället för att mötas av förståelse hos sina föräldrar har hon nu hamnat i en ny, uppslitande situation som känns hopplös. Hur ska hon kunna ta sig ur något som hennes familj – och hela släkten – förväntar sig av henne?

Bortgift mot min vilja är en hoppingivande och inspirerande berättelse om Hanna Saadis långa väg tillbaka till frihet och lycka efter att ha blivit sviken av vuxenvärlden flera gånger. En bok om att ta sig ur hedersförtryck, göra sig fri från skuldkänslor och nå försoning – med sig själv och med andra.",Det var flera år sedan jag såg honom sist. Raed har blivit vuxen och påminner om min farbror Abu Mustafa till utseendet. Jag vill bara springa därifrån men det är som att min kropp har frusit till is. Musklerna lyder inte hjärnans impulser. Tusen tankar far genom huvudet. Föraningen jag kände på pla,sv,4.181818181818182,209,Biographies and reportage,,https://images.nextory.com/9789113136394.jpg?fit=clip&auto=format&w={$width},"Hanna Saadi, Frida Funemyr",Nina Zanjani,33351 secs,"hls, epub",https://www.nextory.com/se/book/bortgift-mot-min-vilja-4378338?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4378338,12733300,12733302
Han ägde mig: En sann berättelse om att överleva en mans våld,"”Är du avlyssnad?”
Texten i socialsekreterarens anteckningsblock lyser mot Carola, som varit övervakad av sin sambo så länge hon kan minnas.

Från att ha varit hennes drömkille, förvandlades Magnus långsamt till en kontrollerande diktator i hennes liv. I hemmet sitter kameror uppsatta. I hennes telefon finns en app som ger honom full tillgång. Skulle hon mot förmodan träffa en vän avkrävs hon en exakt redogörelse. Vad gjorde dom? Har hon pratat om honom? Som ett bevis på att hon inte kommer lämna honom, har Magnus fått henne att skriva över vårdnaden av barnen. Han slår henne när hon inte ställer upp på sex. Och hon misstänker att han sålt henne när hon haft sina ögon förbundna.
I tio år har hon varit i hans våld, men nu sitter hon här för att få hjälp.

""Han ägde mig"" är en sann berättelse om vad som pågick i en utåt sett normal familj i en svensk småstad. Det är en berättelse om kontroll, kvinnohat, och hur man till slut blir fri.

Carola Jansson (f. 1983) vann mot sin förövare i rätten 2022 och han dömdes till flera års fängelse.","”Är du avlyssnad?” Texten i socialsekreterarens anteckningsblock lyser mot Carola, som varit övervakad av sin sambo så länge hon kan minnas. Från att ha varit hennes drömkille, förvandlades Magnus långsamt till en kontrollerande diktator i hennes liv. I hemmet sitter kameror uppsatta. I hennes tele",sv,4.4227642276422765,5904,Biographies and reportage,,https://images.nextory.com/9789189808669.jpg?fit=clip&auto=format&w={$width},"Leone Milton, Carola Jansson",Carina Ehrenholm,28948 secs,"hls, epub",https://www.nextory.com/se/book/han-ägde-mig-en-sann-berättelse-om-att-överleva-en-mans-våld-3918756?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,3918756,12513492,12614771
Flickan och ättikan,"Tidigt på julaftons morgon 2022 kommer en pappa in till barnakuten i Lund med sin sexåriga dotter i famnen. Flickan är tunt klädd, djupt nedkyld och knappt vid medvetande. Hon har druckit ättika, förklarar pappan medan läkarna kämpar för att rädda hennes liv. Men sjukhuspersonalen misstänker snart att det han säger inte är hela sanningen. För varifrån kommer de många skadorna på flickans kropp?

När den erfarna åklagaren Ingegerd Jigin tillsammans med polisen börjar gräva i hur flickans tillvaro har sett ut inser de att hon levt under ohyggliga omständigheter – inlåst i familjens tvättstuga.

I ”Flickan och ättikan” berättar journalisten Maria Rydhagen hela historien om kampen för att ge den skadade flickan upprättelse. Det visar sig att flickan inte bara har svikits av sina föräldrar. Andra vuxna, vård- och skolpersonal i hennes omgivning, har sett varningstecken. Trots det får hon inte hjälp förrän katastrofen redan är ett faktum.

*

Maria Rydhagen är författare och journalist på Expressen. Hon har under lång tid följt fallet med flickan och ättikan i sin roll som reporter.","Tidigt på julaftons morgon 2022 kommer en pappa in till barnakuten i Lund med sin sexåriga dotter i famnen. Flickan är tunt klädd, djupt nedkyld och knappt vid medvetande. Hon har druckit ättika, förklarar pappan medan läkarna kämpar för att rädda hennes liv. Men sjukhuspersonalen misstänker snart a",sv,4.548961424332345,1011,Biographies and reportage,,https://images.nextory.com/9789180025997.jpg?fit=clip&auto=format&w={$width},Maria Rydhagen,Linda Santiago,26964 secs,"hls, epub",https://www.nextory.com/se/book/flickan-och-ättikan-4393326?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4393326,12740810,12740809
Stalkad: Tjugo år av terror,"”Jag ser faktiskt bara tre saker som skulle kunna få honom att sluta: att han dör, att jag dör eller att han blir avslöjad och gripen av polisen.”

”Till kåta Ayse!” Ayse slänger brevet på golvet så fort hon läst de första raderna. Det har gått nästan fem år sedan hon fick det första telefonsamtalet och fyra år sedan det första brevet. Trots det har varken hon eller polisen lyckats ta reda på vem han är, mannen som stalkar henne. Han vet däremot en hel del om henne. I sina vidriga brev beskriver han till exempel vad hon haft på sig vid ett visst tillfälle och vilket humör hennes dotter varit på när de promenerat hem från förskolan. Det är uppenbart att han finns i hennes närhet. Men var?

Till slut, efter många år av äckliga telefonsamtal och snuskiga brev, når den psykiska terrorn en ny nivå när mannen börjar klottra obscena meddelanden på offentliga platser och sätter upp lappar där han namnger henne och där det står att hon säljer sex.

""Stalkad"" är Ayse Johanssons berättelse om hur hon under nästa två decennier levde under ohygglig press och hur det gick till när hon äntligen blev fri. Johan Ekfeldt, Ayses medförfattare, jobbar till vardags som journalist.","”Jag ser faktiskt bara tre saker som skulle kunna få honom att sluta: att han dör, att jag dör eller att han blir avslöjad och gripen av polisen.” ”Till kåta Ayse!” Ayse slänger brevet på golvet så fort hon läst de första raderna. Det har gått nästan fem år sedan hon fick det första telefonsamtalet",sv,4.178294573643411,129,Biographies and reportage,,https://images.nextory.com/9789181090710.jpg?fit=clip&auto=format&w={$width},"Ayse Johansson, Johan Ekfeldt",Ella Schartner,19913 secs,"hls, epub",https://www.nextory.com/se/book/stalkad-tjugo-år-av-terror-4400919?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4400919,12744650,12779106
Avhopparen: En sann berättelse,"Det är 2018 och Viktor Grewe dunkar sitt huvud mot cellväggen. Hur i helvetet blev det så här illa. Hur hamnade han ens här? Viktor har alltid haft en ilska inom sig. Ett bubblande rus i venerna som endast kan stillas när knogarna får möta motstånd. Folk pratar om rushar av adrenalin eller droger. Men för honom finns bara en kick. Våldet. De senaste åren har varit som myrornas krig. Vad som i början var spännande och kändes som påhittade filmscener med kriminella ligor, höll i slutet på att ta kål på honom. Folk som konstant hörde av sig och ville ha tjänster. Någon kille var skyldig en annan pengar. En annan höll på att torska något rån. Mobilen ringde dygnet runt, man spammade honom på Wickr. ""Grewe du måste hålla koll på dina grabbar!"" När han häktades för en månad sedan blev det plötsligt tyst. Inte längre någon mobil som ringer, ingen som skriker eller tjatar. Varje dag kommer någon med mat. Här frågar man hur han mår, vad han vill göra idag. Ska det här bli början på resten av hans liv?

""Avhopparen"" är en sann berättelse om ett Sverige i krig. Om en ung kille som hamnar på glid och bestämmer sig för att ta över världen med sina knytnävar. Men som hittar ut. Och hoppar av.",Det är 2018 och Viktor Grewe dunkar sitt huvud mot cellväggen. Hur i helvetet blev det så här illa. Hur hamnade han ens här? Viktor har alltid haft en ilska inom sig. Ett bubblande rus i venerna som endast kan stillas när knogarna får möta motstånd. Folk pratar om rushar av adrenalin eller droger. M,sv,4.113475177304965,564,Biographies and reportage,,https://images.nextory.com/9789189811263.jpg?fit=clip&auto=format&w={$width},"Viktor Grewe, Fredrik Thorén",Erik Bolin,22189 secs,"hls, epub",https://www.nextory.com/se/book/avhopparen-en-sann-berättelse-4114522?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4114522,12608860,12721035
Och jag slutade kalla dig pappa : familjetraumat som skakade en hel värld,"En häpnadsväckande modig och berörande memoar av Caroline Darian, dotter till den ökände våldtäktsmannen Dominique Pelicot.

Rättegången mot Dominique Pelicot som inleddes den 2 september 2024 har skakat Frankrike och fångat hela världens uppmärksamhet. Värst drabbade av övergreppen är Gisèle Pelicot och hennes dotter, Caroline Darian, som tvingats återuppbygga sina liv från grunden. Det här är deras historia.

I november 2020 får Caroline ett samtal från polisen som har gripit hennes pappa och beslagtagit hans dator och telefon. Materialet visar det otänkbara - att han i åratal drogat sin fru och under hennes medvetslöshet erbjudit henne till ett stort antal män i alla åldrar och samhällsklasser.

I rättegången som kom att följas av medier från hela världen och som Gisèle Pelicot begärt ska vara öppen, har hon och dottern visat på ett exceptionellt mod - hela tiden med ambitionen att lägga skulden och skammen där den hör hemma: hos förövaren.","En häpnadsväckande modig och berörande memoar av Caroline Darian, dotter till den ökände våldtäktsmannen Dominique Pelicot. Rättegången mot Dominique Pelicot som inleddes den 2 september 2024 har skakat Frankrike och fångat hela världens uppmärksamhet. Värst drabbade av övergreppen är Gisèle Pelico",sv,4.124481327800829,482,Biographies and reportage,,https://images.nextory.com/9789137163154.jpg?fit=clip&auto=format&w={$width},Caroline Darian,Anja Lundqvist,16191 secs,"hls, epub",https://www.nextory.com/se/book/och-jag-slutade-kalla-dig-pappa-familjetraumat-som-skakade-en-hel-värld-4482689?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4482689,12770541,12769881
Min pojkvän sålde min kropp: Semesterresan som blev ett sexhelvete,"När Sophies liv rämnar finns pojkvännen Kas där för henne. Hon åker för att hälsa på honom i Italien och han är snäll och omtänksam. Men så förändras allt. Kas blir våldsam och hotar att döda hennes yngre bröder om hon inte lyder honom. Hon tvingas sälja sin kropp för att betala av hans skulder. I sex månader jobbar Sophie sju nätter i veckan på gatorna i en stad i norra Italien, samtidigt som Kas misshandlar henne, psykiskt och fysiskt. Att fly verkar omöjligt. Men när hon får svåra magsmärtor och hamnar på sjukhus vågar Sophie ta risken att ringa sin mamma, medveten om att det kan kosta henne livet om Kas får reda på det. Men vem kommer hinna fram till henne först?",När Sophies liv rämnar finns pojkvännen Kas där för henne. Hon åker för att hälsa på honom i Italien och han är snäll och omtänksam. Men så förändras allt. Kas blir våldsam och hotar att döda hennes yngre bröder om hon inte lyder honom. Hon tvingas sälja sin kropp för att betala av hans skulder. I s,sv,4.313253012048193,166,Biographies and reportage,,https://images.nextory.com/9789189973022.jpg?fit=clip&auto=format&w={$width},Sophie Hayes,Callin Öhrvall Delmar,27391 secs,"hls, epub",https://www.nextory.com/se/book/min-pojkvän-sålde-min-kropp-semesterresan-som-blev-ett-sexhelvete-4349660?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4349660,12716761,12759627
Älskade psykopat : min historia,"”I ögonvrån ser jag hur han närmar sig med utsträckta händer och något svart i blicken. Plötsligt greppar han tag runt min hals med båda händerna i ett strypgrepp och ruskar om mig. Paniken sprider sig i hela kroppen, och jag sträcker ut händerna för att försöka putta bort honom. Då släpper han.

'Vad gör du?' utbrister jag chockat.
'Inget, jag skojade bara.'”

Emilie är i tjugofemårsåldern och har aldrig haft en seriös kärleksrelation. När hon träffar Daniel i en dejtingapp tycks stjärnorna äntligen stå rätt. Han är snygg, jobbar inom finans – och bor i hennes drömmars stad: New York. Dessutom överöser han henne med kärlek och ömhet. Trots att ett helt världshav skiljer dem åt fördjupas relationen och de blir ett par.

Men är Daniel verkligen så perfekt som han utgett sig för att vara? Gradvis anar Emilie att det är något som inte stämmer – ändå går hon med på att flytta till pojkvännen. Väl på plats i New York blir ingenting som hon tänkt sig.

”Älskade psykopat” är en sann berättelse om en destruktiv relation, där subtil psykisk misshandel övergår i nedbrytning och manipulation.

*

För första gången berättar Emilie Olsson från podcasten Älskade psykopat om den personliga erfarenhet som inspirerade henne att starta podden. Emilie Olsson är journalist och programledare, och når närmare 100 000 unika lyssnare varje vecka.","”I ögonvrån ser jag hur han närmar sig med utsträckta händer och något svart i blicken. Plötsligt greppar han tag runt min hals med båda händerna i ett strypgrepp och ruskar om mig. Paniken sprider sig i hela kroppen, och jag sträcker ut händerna för att försöka putta bort honom. Då släpper han. 'V",sv,4.058461538461539,325,Biographies and reportage,,https://images.nextory.com/9789180026000.jpg?fit=clip&auto=format&w={$width},Emilie Olsson,Emilie Olsson,15423 secs,"hls, epub",https://www.nextory.com/se/book/älskade-psykopat-min-historia-4468855?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4468855,12778655,12778650
Blunda och tänk på något annat: En sann berättelse,"Anna Lidén har just fyllt 13 när hon följer med en kille hem efter skolan. Anna är en helt vanlig tjej, med en helt vanlig familj som går på en helt vanlig skola i ett lagom fint område i Stockholm. Niklas är varken ovanlig eller särskilt snygg. Men han är lång och skriver gulliga meddelanden. Framförallt är han 17 år och ska bli Annas väg in i populäritet och vuxenliv.

Men något blir fel, väldigt fel, något som Anna inte riktigt förstår. Ordet våldtäkt larmar i henne och en sak är klar: Niklas har gjort något man inte får göra.

När hon försöker berätta blir omgivningen perplex. Det är som att ingen tror henne och Anna själv börjar göra allt i sin makt för att vifta bort det som hänt.

Våldtäkten får Annas värld att långsamt rasa samman. När hon tre år senare träffar en ny kille som föreslår att hon ska sälja sig för pengar, ser hon ingen anledning att säga nej. Där och då tar Anna ett kliv in i en mörk värld. Bland hennes kunder finns Sveriges elit, författare och politiker. Resan tillbaka till ett vanligt liv ska visa sig bli lång och snårig.

""Blunda och tänk på något annat"" är en sann och skakande skidring av hur det är att leva som prostituerad i Sverige. Men också om hur man tar sig ut, och erövrar sina inre demoner.

ANNA LIDÉN (f. 1988) är uppvuxen i Stockholm och sitter i styrelsen för organisationen Inte din hora. ""Blunda och tänk på något annat"" är hennes första bok.","Anna Lidén har just fyllt 13 när hon följer med en kille hem efter skolan. Anna är en helt vanlig tjej, med en helt vanlig familj som går på en helt vanlig skola i ett lagom fint område i Stockholm. Niklas är varken ovanlig eller särskilt snygg. Men han är lång och skriver gulliga meddelanden. Framf",sv,4.503617945007236,1382,Biographies and reportage,,https://images.nextory.com/9789189807860.jpg?fit=clip&auto=format&w={$width},Anna Lidén,Ella Schartner,26091 secs,"hls, epub",https://www.nextory.com/se/book/blunda-och-tänk-på-något-annat-en-sann-berättelse-4143173?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4143173,12518312,12531372
Såld: En sann historia,"Såld är en skrämmande, gripande och sann berättelse om en ung rysk flicka som drömmer om ett bättre liv men istället faller offer för trafficking. Sjuttonåriga Natasja lockas av ett erbjudande som barnflicka i Sverige. Hennes biljett till frihet blir en värre mardröm än hon kunnat föreställa sig. Gång på gång säljs hon till olika män, men trots att hon sakta bryts ner vägrar Natasja in i det sista att ge upp. I all tysthet börjar hon planera sin flykt.

I Såld berättar hon om hur hon mot alla odds lyckades bli fri. När Såld först gavs ut väckte den stark debatt.","Såld är en skrämmande, gripande och sann berättelse om en ung rysk flicka som drömmer om ett bättre liv men istället faller offer för trafficking. Sjuttonåriga Natasja lockas av ett erbjudande som barnflicka i Sverige. Hennes biljett till frihet blir en värre mardröm än hon kunnat föreställa sig. Gå",sv,4.460933000575927,5209,Biographies and reportage,Sanna berättelser,https://images.nextory.com/9789174615463.jpg?fit=clip&auto=format&w={$width},"Vera Efron, Natasja T",Callin Öhrvall Delmar,27095 secs,hls,https://www.nextory.com/se/book/såld-en-sann-historia-2601075?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,2601075,10013485,0
Genombrottet : så löste släktforskaren dubbelmordet i Linköping,"När det fruktansvärda dubbelmordet i Linköping kunde klaras upp efter 16 långa år var det en släktforskare som stod för genombrottet. Peter Sjölund gick 200 år bakåt i tiden och byggde ett släktnät som lyckades ringa in mördaren, som greps och erkände direkt.

En lagändring hade gjort det möjligt att använda släktforskningsdatabaser och för första gången i Europa kunde ett mord klaras upp med den banbrytande metoden, ett genombrott som kan bli viktigare än fingeravtrycket. Nu väntar en lång rad kalla fall på sin lösning.

Det här är boken om jakten som ledde fram till att Peter Sjölund kunde identifiera mördaren. Men också om alla liv som slogs i spillror av morden den där oktoberdagen 2004 och de anhörigas långa väntan på ett svar.

Journalisten Anna Bodin har följt Peter Sjölund från allra första början. Här är deras unika berättelse om jakten som satte punkt för den största mordutredningen i Sveriges historia efter Palmemordet.","När det fruktansvärda dubbelmordet i Linköping kunde klaras upp efter 16 långa år var det en släktforskare som stod för genombrottet. Peter Sjölund gick 200 år bakåt i tiden och byggde ett släktnät som lyckades ringa in mördaren, som greps och erkände direkt. En lagändring hade gjort det möjligt at",sv,4.154109589041096,292,Biographies and reportage,,https://images.nextory.com/9789113114514_res.jpg?fit=clip&auto=format&w={$width},"Anna Bodin, Peter Sjölund",Martin Wallström,39250 secs,"hls, epub",https://www.nextory.com/se/book/genombrottet-så-löste-släktforskaren-dubbelmordet-i-linköping-2785672?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,2785672,10974811,11016275
"Tårar av tystnad: sexuella övergrepp, överlevnad och flykt från en Amish-sekt","När Misty var sex år började hennes familj att leva och klä sig som amish. Mistys mamma och styvpappa höll henne och systern fångna på en gård uppe i bergen, där de levde nästan helt isolerade och utsattes för sexuella övergrepp och extremt fysiskt våld.

När Misty blev tonåring var föräldrarna oroliga för att hon och hennes syster skulle fly, och skickade dem till ett amishsamhälle där de döptes och adopterades av amishfamiljer. Några år senare utsattes Misty för sexuella övergrepp av biskopen i församlingen. Amish fokuserar på förlåtelse och hanterar sexuella övergrepp inom den egna församlingen. Det är förbjudet att gå till polisen. Men Misty samlade mod och polisanmälde biskopen för att skydda de yngre medlemmarna i församlingen. Efteråt hade hon inget annat val än att lämna amish, och kastades plötsligt ut i den okända moderna världen, efter bara två årskurser i grundskolan och utan vare sig legitimation eller personnummer.

Idag är Misty utbildad sjuksköterska och studerar till sin magisterexamen. Hon arbetar också aktivt för att öka medvetenheten om övergrepp mot barn.

Detta är hennes historia.","När Misty var sex år började hennes familj att leva och klä sig som amish. Mistys mamma och styvpappa höll henne och systern fångna på en gård uppe i bergen, där de levde nästan helt isolerade och utsattes för sexuella övergrepp och extremt fysiskt våld. När Misty blev tonåring var föräldrarna orol",sv,4.263736263736264,91,Biographies and reportage,,https://images.nextory.com/9789180512152.jpg?fit=clip&auto=format&w={$width},Misty Griffin,Callin Öhrvall Delmar,36236 secs,"hls, epub",https://www.nextory.com/se/book/tårar-av-tystnad-sexuella-övergrepp-överlevnad-och-flykt-från-en-amish-sekt-4332449?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4332449,12711067,12740181
Innan natten är över,"Följ med på Kayos resa från folkparkernas fylleslag till Stockholms glittrigaste jetsetklubbar.

Kayo berättar öppenhjärtigt om att hantera Bert Karlsson när man vunnit Mello med Afro-Dite, om nakenchockerna och om att köra bakom stora manliga musikeregon. Men också om ett osvikligt systerskap. Och hur man lyckats skina på scenen samtidigt som privatlivet är tufft och allt annat än glamoröst: Under sju år kämpade Kayos ensamstående mamma med att få hem hennes lillebror som kidnappats till Nigeria. Och mitt i karriären gick Kayo igenom svår cancer men lyckades ändå hålla kvar en fot i rampljuset.

""Innan natten är över"" är en uppriktig berättelse om vad som egentligen händer bakom kulisserna i Sveriges nöjesliv. Om att det ibland behövs en glitterpolis för att hålla strålglansen levande och klar. Och om hur man som svart ung tjej med skinn på näsan gör resan från förorten till att som mogen kvinna kliva upp på Kungliga Dramatens scen.

""Innan natten är över"" är Kayos egna ord om ett mångbottnat artistliv som hittills pågått i över 40 år. Och fortsätter.","Följ med på Kayos resa från folkparkernas fylleslag till Stockholms glittrigaste jetsetklubbar. Kayo berättar öppenhjärtigt om att hantera Bert Karlsson när man vunnit Mello med Afro-Dite, om nakenchockerna och om att köra bakom stora manliga musikeregon. Men också om ett osvikligt systerskap. Och",sv,4.051282051282051,39,Biographies and reportage,,https://images.nextory.com/9789180980449.jpg?fit=clip&auto=format&w={$width},"Kayode ""Kayo"" Shekoni","Kayode ""Kayo"" Shekoni",27198 secs,"hls, epub",https://www.nextory.com/se/book/innan-natten-är-över-4439796?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4439796,12764206,12764207
Mörkerspår,"I ""Mörkerspår"" följer läsaren polisinspektör Simon Häggström och hans kollegor i arbetet som spanare på Sveriges bakgator. De gör razzior på porrbiografer och strippklubbar i Stockholm, träffar unga kvinnor som säljer sig både via sugardating och via sidor som Onlyfans. I boken träffar vi även männen som köper sex och som till varje pris vill undvika att avslöjas. Jakten på hallickarna och sexköparna är brutal, i deras ljusskygga värld kan vad som helst hända.","I ""Mörkerspår"" följer läsaren polisinspektör Simon Häggström och hans kollegor i arbetet som spanare på Sveriges bakgator. De gör razzior på porrbiografer och strippklubbar i Stockholm, träffar unga kvinnor som säljer sig både via sugardating och via sidor som Onlyfans. I boken träffar vi även männe",sv,0.0,0,Biographies and reportage,En spanares kamp mot prostitutionen,https://images.nextory.com/9789181090130.jpg?fit=clip&auto=format&w={$width},Simon Häggström,Martin Wallström,0 secs,hls,https://www.nextory.com/se/book/mörkerspår-4495345?utm_campaign=NX+App+%7C+Share+%7C+Generic+%7C+NXSE&utm_medium=Referral&utm_source=NX+App,4495345,12791426,0
